method,seed,condition_a,condition_b,n_images,delta_ins_mean,delta_ins_ci_low,delta_ins_ci_high,delta_ins_pvalue,delta_del_mean,delta_del_ci_low,delta_del_ci_high,delta_del_pvalue
gradcam,0,supervised,moco,127,-0.37123261734250435,-0.3976787973361846,-0.3464983028940631,0.0001999600079984003,-0.5422714133509836,-0.5691034896383969,-0.5154771156564331,0.0001999600079984003
gradcam,0,supervised,swav,127,-0.08146742304619062,-0.09598978298884146,-0.06702615158574148,0.0001999600079984003,-0.26251429429509127,-0.2908927172944154,-0.23434194542137302,0.0001999600079984003
gradcam,0,supervised,random_init,127,-0.1455825243280164,-0.18440496487436595,-0.10624895654483493,0.0001999600079984003,-0.16046964476726233,-0.216567951933594,-0.11231324527136256,0.0001999600079984003
gradcam,0,moco,swav,127,0.2897651942963137,0.2658095474696987,0.31551305515362305,0.0001999600079984003,0.2797571190558921,0.2513861834015438,0.30722383563754463,0.0001999600079984003
gradcam,0,moco,random_init,127,0.2256500930144879,0.18865406056510906,0.2614669944065541,0.0001999600079984003,0.3818017685837209,0.3336533988502047,0.42492433466252,0.0001999600079984003
gradcam,0,swav,random_init,127,-0.06411510128182579,-0.09933384987363274,-0.02763695686524874,0.0013997200559888023,0.10204464952782888,0.046299745845299806,0.15219360071947585,0.0001999600079984003
gradcam,1,supervised,moco,118,-0.359154315561456,-0.38619696092426603,-0.3343941459834901,0.0001999600079984003,-0.5398587710718197,-0.5625646433187649,-0.5154839714551059,0.0001999600079984003
gradcam,1,supervised,swav,118,-0.08881597931229225,-0.10484122977541868,-0.07501510813569809,0.0001999600079984003,-0.26317345115827445,-0.29280285707446324,-0.23535530730057672,0.0001999600079984003
gradcam,1,supervised,random_init,118,-0.13611666700133013,-0.17304151979465363,-0.10037903185543658,0.0001999600079984003,-0.13883745973154837,-0.18292206516933165,-0.09425484121843147,0.0001999600079984003
gradcam,1,moco,swav,118,0.2703383362491638,0.24815275490324565,0.296470303541647,0.0001999600079984003,0.2766853199135453,0.25056405399963494,0.30315534576278563,0.0001999600079984003
gradcam,1,moco,random_init,118,0.22303764856012584,0.1833694030474126,0.26373893438030516,0.0001999600079984003,0.40102131134027136,0.3584363517425623,0.44164831379703945,0.0001999600079984003
gradcam,1,swav,random_init,118,-0.04730068768903789,-0.08407878417094865,-0.012719394748644579,0.011797640471905619,0.12433599142672609,0.08079030799860416,0.16517898397812977,0.0001999600079984003
gradcam,2,supervised,moco,123,-0.35078430341393557,-0.3774832708020947,-0.32579597205645194,0.0001999600079984003,-0.5272774812198117,-0.5522043922722241,-0.5026966477814931,0.0001999600079984003
gradcam,2,supervised,swav,123,-0.09485101905175475,-0.11228324087738481,-0.07777470458909935,0.0001999600079984003,-0.26270817983511136,-0.29413391009398554,-0.2348420513967486,0.0001999600079984003
gradcam,2,supervised,random_init,123,-0.13191439381487527,-0.16768792764981247,-0.09968879103758883,0.0001999600079984003,-0.14626283371880083,-0.19355819024194298,-0.10430163986967164,0.0001999600079984003
gradcam,2,moco,swav,123,0.25593328436218077,0.23158124460379972,0.2818290178480667,0.0001999600079984003,0.2645693013847003,0.23671270338698172,0.2916768967749641,0.0001999600079984003
gradcam,2,moco,random_init,123,0.21886990959906025,0.1814890445724046,0.25496050992627056,0.0001999600079984003,0.3810146475010108,0.33430969022651313,0.42352373758339407,0.0001999600079984003
gradcam,2,swav,random_init,123,-0.03706337476312053,-0.07374922162716063,-0.003501530637211926,0.047590481903619274,0.1164453461163105,0.06670609190431322,0.1607399377797126,0.0001999600079984003
gradcampp,0,supervised,moco,127,-0.3682195923223441,-0.394781394493874,-0.3424439320990865,0.0001999600079984003,-0.5551613100916419,-0.5796165070242969,-0.5294410484283882,0.0001999600079984003
gradcampp,0,supervised,swav,127,-0.12517703689864745,-0.14404984060871825,-0.10517558623540267,0.0001999600079984003,-0.18741018700043566,-0.21539236556915317,-0.1608160957270657,0.0001999600079984003
gradcampp,0,supervised,random_init,127,-0.14044762510833098,-0.1794596242836738,-0.10180807377737774,0.0001999600079984003,-0.17297417448881608,-0.22611918560031488,-0.12496769324759513,0.0001999600079984003
gradcampp,0,moco,swav,127,0.24304255542369668,0.21822895896845765,0.2684996921783515,0.0001999600079984003,0.36775112309120633,0.33916852590920576,0.3956371186593912,0.0001999600079984003
gradcampp,0,moco,random_init,127,0.22777196721401313,0.191290288477743,0.2644194923125029,0.0001999600079984003,0.38218713560282586,0.3351604480482874,0.42432595506128945,0.0001999600079984003
gradcampp,0,swav,random_init,127,-0.015270588209683515,-0.05102086115484997,0.019939162568330462,0.4287142571485703,0.014436012511619595,-0.03808476232456808,0.06398751487222916,0.5462907418516296
gradcampp,1,supervised,moco,118,-0.3571344390697825,-0.38444006243352286,-0.3316603364637622,0.0001999600079984003,-0.5497043071983982,-0.5701129960372504,-0.5271989145161105,0.0001999600079984003
gradcampp,1,supervised,swav,118,-0.129406980460687,-0.15093962137800723,-0.10991579372380031,0.0001999600079984003,-0.18634573997912013,-0.21348184767352882,-0.160764333783397,0.0001999600079984003
gradcampp,1,supervised,random_init,118,-0.13759112404607604,-0.17995305769719067,-0.09660644317551806,0.0001999600079984003,-0.13667136212510358,-0.17749960980190047,-0.09723398503922515,0.0001999600079984003
gradcampp,1,moco,swav,118,0.22772745860909543,0.20291436334363405,0.2548327159329854,0.0001999600079984003,0.3633585672192783,0.3366329856561704,0.3897851108952565,0.0001999600079984003
gradcampp,1,moco,random_init,118,0.21954331502370644,0.17797691284985714,0.2606092549354297,0.0001999600079984003,0.4130329450732947,0.3751454634249764,0.4523139574016388,0.0001999600079984003
gradcampp,1,swav,random_init,118,-0.008184143585389042,-0.047385763213721746,0.028597628036251727,0.6782643471305739,0.04967437785401652,0.010438092472443773,0.08709251270152538,0.017196560687862426
gradcampp,2,supervised,moco,123,-0.3464443529458838,-0.37393669439655297,-0.31855543852762835,0.0001999600079984003,-0.5407120962172202,-0.5623602787064709,-0.5180997828568301,0.0001999600079984003
gradcampp,2,supervised,swav,123,-0.1270641387370151,-0.14929565685828636,-0.10464628171301198,0.0001999600079984003,-0.1986410560629793,-0.22766043620697093,-0.1730861397920229,0.0001999600079984003
gradcampp,2,supervised,random_init,123,-0.13114979095775336,-0.17026031897538021,-0.09332383751132711,0.0001999600079984003,-0.15460196753383387,-0.19858479030817705,-0.11623554525975588,0.0001999600079984003
gradcampp,2,moco,swav,123,0.21938021420886875,0.1945277616190641,0.24463438593125622,0.0001999600079984003,0.3420710401542409,0.3141100147456162,0.3685335160261983,0.0001999600079984003
gradcampp,2,moco,random_init,123,0.21529456198813055,0.17401675151286983,0.25600276402527183,0.0001999600079984003,0.38611012868338623,0.34192626795609765,0.42527413827643046,0.0001999600079984003
gradcampp,2,swav,random_init,123,-0.0040856522207382544,-0.04326791002192653,0.033417824007698015,0.8436312737452509,0.04403908852914539,-0.0018377270397534498,0.08702098952080091,0.057588482303539294
occlusion,0,supervised,moco,127,-0.4311954037053881,-0.45601157487388977,-0.40554167858505835,0.0001999600079984003,-0.4887723447785191,-0.5244485730387503,-0.44936273051956466,0.0001999600079984003
occlusion,0,supervised,swav,127,-0.1413182911840858,-0.16309495170543972,-0.12113926207211496,0.0001999600079984003,-0.20456022335379145,-0.24125316747611908,-0.16859900417740784,0.0001999600079984003
occlusion,0,supervised,random_init,127,-0.02250872534325036,-0.04263840078251842,-0.002872233540905355,0.02539492101579684,-0.320549639757204,-0.386571695228829,-0.25592973344148284,0.0001999600079984003
occlusion,0,moco,swav,127,0.28987711252130227,0.26531323613977925,0.3137417471273463,0.0001999600079984003,0.28421212142472774,0.2561288378654576,0.31279034222666857,0.0001999600079984003
occlusion,0,moco,random_init,127,0.40868667836213773,0.3816006605242724,0.4344156524504367,0.0001999600079984003,0.1682227050213151,0.11535400266502625,0.22517275542180212,0.0001999600079984003
occlusion,0,swav,random_init,127,0.11880956584083549,0.09675990440686784,0.14241483574005023,0.0001999600079984003,-0.11598941640341259,-0.17430246301522986,-0.05837584285741208,0.0005998800239952009
occlusion,1,supervised,moco,118,-0.4114727857685964,-0.4381797101952256,-0.3871605123885943,0.0001999600079984003,-0.48146631482635127,-0.5162674913591094,-0.44568236229873476,0.0001999600079984003
occlusion,1,supervised,swav,118,-0.13631272845334783,-0.15645435328333676,-0.1158811137984391,0.0001999600079984003,-0.2087109396419062,-0.24553022676709452,-0.17245863222737753,0.0001999600079984003
occlusion,1,supervised,random_init,118,-0.029438897078595455,-0.04866109718292227,-0.008775159001287643,0.0065986802639472104,-0.26118498208789,-0.31801150912911424,-0.20366142323992698,0.0001999600079984003
occlusion,1,moco,swav,118,0.2751600573152486,0.2518675201177041,0.3018371534297149,0.0001999600079984003,0.2727553751844449,0.24567356038969365,0.3017382153239544,0.0001999600079984003
occlusion,1,moco,random_init,118,0.382033888690001,0.3538529643808034,0.4121859726439388,0.0001999600079984003,0.22028133273846123,0.167176124521738,0.2734867226219888,0.0001999600079984003
occlusion,1,swav,random_init,118,0.10687383137475236,0.0833258923619684,0.13186519606596495,0.0001999600079984003,-0.05247404244598374,-0.10905873929360274,-0.001952772168256125,0.04859028194361128
occlusion,2,supervised,moco,123,-0.3989260795666344,-0.42506948617017437,-0.37472774314577156,0.0001999600079984003,-0.47866373267575363,-0.5157266845749533,-0.44200543661583047,0.0001999600079984003
occlusion,2,supervised,swav,123,-0.14115772563809467,-0.1613193162808476,-0.12174279581586758,0.0001999600079984003,-0.2152103274641653,-0.2579111628942783,-0.17528589591324695,0.0001999600079984003
occlusion,2,supervised,random_init,123,-0.01866746626666911,-0.03724334258656948,-0.0017046475548684059,0.046990601879624075,-0.30841269872752597,-0.3732705608461183,-0.2519490488725607,0.0001999600079984003
occlusion,2,moco,swav,123,0.25776835392853975,0.2328140964005696,0.2824726763847148,0.0001999600079984003,0.26345340521158833,0.23496682192392163,0.29080209338357554,0.0001999600079984003
occlusion,2,moco,random_init,123,0.3802586132999653,0.35147024743594063,0.40844153292315216,0.0001999600079984003,0.17025103394822763,0.11792454554906633,0.2172393896400512,0.0001999600079984003
occlusion,2,swav,random_init,123,0.12249025937142553,0.09778767075234532,0.14722958804707592,0.0001999600079984003,-0.09320237126336071,-0.15009997536931038,-0.041484831864129254,0.0023995200959808036
