condition,seed,method,slice,n_images,mean_insertion_auc,mean_deletion_auc,mean_target_logit_original,mean_norm_insertion_auc,mean_norm_deletion_auc,mean_drop_top10,mean_drop_top20,flip_rate_top10,flip_rate_top20
moco,0,gradcam,all200,200,0.5199190238030411,0.29817837915793477,0.7061218962073326,0.7433306953533547,0.4341740622433104,0.1329717031121254,0.2795157930254936,0.06,0.155
moco,0,gradcam,primary,127,0.567458848495606,0.3163103551188957,0.7555648025095932,0.7572691115664792,0.4262823553442441,0.12364153211980354,0.29177083403576076,0.031496062992125984,0.10236220472440945
moco,0,gradcampp,all200,200,0.5126168626111408,0.30354192783175726,0.7061218962073326,0.7308265098416921,0.4425086998693166,0.1255559814348817,0.2690777126699686,0.07,0.14
moco,0,gradcampp,primary,127,0.559943361268066,0.32118559384462314,0.7555648025095932,0.7466502386450312,0.43254009100685137,0.11676288718783011,0.2805887031273579,0.03937007874015748,0.08661417322834646
moco,0,occlusion,all200,200,0.4825748368610148,0.2893760911641365,0.7061218962073326,0.7008076661037628,0.4169714958254147,0.2460098247975111,0.31883038621395826,0.16,0.23
moco,0,occlusion,primary,127,0.5193665270850526,0.3175698038827494,0.7555648025095932,0.6947749315601809,0.42752143753252775,0.25187851253926286,0.32695747325270197,0.08661417322834646,0.14173228346456693
random_init,0,gradcam,all200,200,0.7051771252175033,0.6057025092116928,0.7689349773526192,0.9059201911331898,0.7732889715515302,0.05629535801708698,0.10053863480687142,0.095,0.175
random_init,0,gradcam,primary,127,0.7931089415100938,0.6981121237026167,0.8500710261149669,0.9279582486002932,0.8087337317965061,0.05286160885818361,0.09249059809005167,0.08661417322834646,0.11811023622047244
random_init,0,gradcampp,all200,200,0.6958689044079297,0.6133314078084047,0.7689349773526192,0.8920296535812666,0.784811989855979,0.04864909321069717,0.09380745016038418,0.115,0.175
random_init,0,gradcampp,primary,127,0.787715328482079,0.7033727294474491,0.8500710261149669,0.9193783293199386,0.8162467858293586,0.053334691041097865,0.0927235213086361,0.10236220472440945,0.11811023622047244
random_init,0,occlusion,all200,200,0.8887937288857753,0.3812802163443385,0.7689349773526192,1.2229226229109391,0.4502753092171674,0.30737119153141973,0.3894777415692806,0.485,0.58
random_init,0,occlusion,primary,127,0.9280532054471904,0.48579250890406456,0.8500710261149669,1.1314478549415985,0.5381064120306636,0.2683911196828827,0.3573828658719701,0.3228346456692913,0.44881889763779526
supervised,0,gradcam,all200,200,0.9011824496922326,0.7948574696256947,0.9535307696461678,0.9468153571331628,0.8255323002013335,0.035207131952047346,0.06612579554319381,0.035,0.07
supervised,0,gradcam,primary,127,0.9386914658381101,0.858581768469879,0.9778375123429486,0.9600122938813527,0.8761636995627397,0.01173039989208612,0.024037541366937594,0.007874015748031496,0.007874015748031496
supervised,0,gradcampp,all200,200,0.8824100991496424,0.8214344973417178,0.9535307696461678,0.922675202900836,0.858666594277794,0.016961565017700197,0.02876026973128319,0.015,0.025
supervised,0,gradcampp,primary,127,0.9281629535904103,0.8763469039362652,0.9778375123429486,0.9492170367181211,0.8942859246641002,0.01135074130193455,0.013974165353249378,0.007874015748031496,0.007874015748031496
supervised,0,occlusion,all200,200,0.9260625417633066,0.7265273521616138,0.9535307696461678,0.9784846046873704,0.7503772976069878,0.16843602821230888,0.21586738407611847,0.15,0.2
supervised,0,occlusion,primary,127,0.9505619307904407,0.8063421486612685,0.9778375123429486,0.9741789988590188,0.8214752169536016,0.11113771303432195,0.15408800953016508,0.05511811023622047,0.10236220472440945
swav,0,gradcam,all200,200,0.7982969113180242,0.5322698846422198,0.9266914704442024,0.8613393360371304,0.5627098300123027,0.09716267183423043,0.19630190841853618,0.075,0.15
swav,0,gradcam,primary,127,0.8572240427919195,0.5960674741747878,0.97206509958102,0.8815013119016546,0.6090108588546301,0.07685273228667852,0.16098297862556038,0.047244094488188976,0.08661417322834646
swav,0,gradcampp,all200,200,0.7444885540994776,0.6107021773124192,0.9266914704442024,0.8019922667570415,0.647626293713563,0.06287578292191029,0.12499812230467797,0.06,0.08
swav,0,gradcampp,primary,127,0.8029859166917629,0.6889367169358294,0.97206509958102,0.8239413834204583,0.7051413119743607,0.04789682448379637,0.09244097170867319,0.023622047244094488,0.023622047244094488
swav,0,occlusion,all200,200,0.7563049519163297,0.5171115968505656,0.9266914704442024,0.8226503029670128,0.5455413296230438,0.1902724329382181,0.2803347723931074,0.145,0.245
swav,0,occlusion,primary,127,0.8092436396063547,0.6017819253074772,0.97206509958102,0.8324738509672264,0.6153234789008055,0.14699892687985278,0.23043805008798135,0.05511811023622047,0.14960629921259844
