condition,method,slice,n_seeds,mean_insertion_auc,std_insertion_auc,mean_deletion_auc,std_deletion_auc,mean_n_images,min_n_images,max_n_images
moco,gradcam,all200,3,0.5274938868209653,0.008332720451868935,0.3025451877133891,0.004896954912307329,200.0,200,200
moco,gradcam,primary,3,0.5778272812279943,0.009923998511171964,0.3285037528170165,0.010993093347748248,122.66666666666667,118,127
moco,gradcampp,all200,3,0.5201207834205431,0.008269067173765689,0.30795669404220205,0.0050068645219776605,200.0,200,200
moco,gradcampp,primary,3,0.570259437394748,0.009765218001287547,0.33307068148319147,0.010884165923600277,122.66666666666667,118,127
moco,occlusion,all200,3,0.4889841485927569,0.006964788064836907,0.29382302586766057,0.005028188981760069,200.0,200,200
moco,occlusion,primary,3,0.5347489764044188,0.014559363585737015,0.3264419220378449,0.007819988089159177,122.66666666666667,118,127
random_init,gradcam,all200,3,0.7102398860020944,0.00457383384769778,0.6334638079277314,0.026738267888764513,200.0,200,200
random_init,gradcam,primary,3,0.8003464982858857,0.00662378813455634,0.7164496619586842,0.017333925124918725,122.66666666666667,118,127
random_init,gradcampp,all200,3,0.6994998770349802,0.0035138695947333925,0.6440570673649892,0.029394730013386196,200.0,200,200
random_init,gradcampp,primary,3,0.7911293854700315,0.0034709452444353825,0.7268474179363604,0.022621948493945013,122.66666666666667,118,127
random_init,occlusion,all200,3,0.8829551046628134,0.005494150063360276,0.4080400273184039,0.030454200398512724,200.0,200,200
random_init,occlusion,primary,3,0.9250753698551203,0.005614254630336065,0.5126936126071796,0.033133722283566536,122.66666666666667,118,127
supervised,gradcam,all200,3,0.8998285028018578,0.0034368228320096226,0.7920775126122432,0.0027582865580540964,200.0,200,200
supervised,gradcam,primary,3,0.9382176933339595,0.00041232273782635303,0.8649729746978879,0.006410836539646174,122.66666666666667,118,127
supervised,gradcampp,all200,3,0.8813142781578368,0.002611187581234884,0.8196362275817538,0.00229314097115295,200.0,200,200
supervised,gradcampp,primary,3,0.9275255655074183,0.0015072447958419403,0.8815965859856116,0.004646038616731844,122.66666666666667,118,127
supervised,occlusion,all200,3,0.9243004485052343,0.0027952697800617127,0.7245341186555403,0.0031591864603367882,200.0,200,200
supervised,occlusion,primary,3,0.9486137327512919,0.0017336827975843803,0.8094093861313861,0.0026568438378354268,122.66666666666667,118,127
swav,gradcam,all200,3,0.7943757593082102,0.0053743997878540565,0.530110748634064,0.005533792701260547,200.0,200,200
swav,gradcam,primary,3,0.8498395528638802,0.007053996861186726,0.6021743329350623,0.006081331552313038,122.66666666666667,118,127
swav,gradcampp,all200,3,0.7413653026032351,0.005307138145470335,0.6072519671101944,0.005928867219837627,200.0,200,200
swav,gradcampp,primary,3,0.8003095134753018,0.0023293264838569502,0.6907975916380998,0.007285374494408447,122.66666666666667,118,127
swav,occlusion,all200,3,0.7532806969951945,0.0043295498954100675,0.5155181521125497,0.004630164431253866,200.0,200,200
swav,occlusion,primary,3,0.8090174843261156,0.002828098533142894,0.5999155559780984,0.003581661135899962,122.66666666666667,118,127
