condition,seed,n_primary,gradcam_ins,gradcampp_ins,delta_ins,gradcam_del,gradcampp_del,delta_del
moco,0,127,0.567458848495606,0.559943361268066,-0.00751548722754003,0.3163103551188957,0.32118559384462314,0.0048752387257274266
moco,1,118,0.578785690161851,0.5714749619674279,-0.007310728194423133,0.33154449178677464,0.33547435730265934,0.003929865515884701
moco,2,123,0.5872373050265258,0.5793599889487503,-0.007877316077775531,0.337656411545379,0.34255209330229197,0.004895681756912962
random_init,0,127,0.7931089415100938,0.787715328482079,-0.0053936130280147765,0.6981121237026167,0.7033727294474491,0.005260605744832447
random_init,1,118,0.8018233387219769,0.7910182769911344,-0.010805061730842502,0.7325658031270461,0.7485073023759542,0.015941499248908086
random_init,2,123,0.8061072146255863,0.7946545509368809,-0.011452663688705456,0.7186710590463898,0.7286622219856782,0.009991162939288367
supervised,0,127,0.9386914658381101,0.9281629535904103,-0.010528512247699795,0.858581768469879,0.8763469039362652,0.01776513546638625
supervised,1,118,0.9379400057233069,0.9286094010372101,-0.00933060468609681,0.8714032628585944,0.8851786645010578,0.01377540164246338
supervised,2,123,0.9380216084404615,0.9258043418946341,-0.012217266545827332,0.8649338927651906,0.8832641895195119,0.018330296754321296
swav,0,127,0.8572240427919195,0.8029859166917629,-0.05423812610015666,0.5960674741747878,0.6889367169358294,0.09286924276104158
swav,1,118,0.8491240264110148,0.7992024205765234,-0.049921605834491456,0.60822981170032,0.6988329245219376,0.09060311282161759
swav,2,123,0.8431705893887066,0.798740203157619,-0.04443038623108764,0.6022257129300792,0.6846231334565328,0.0823974205264536
